epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.54535,0.98332,2.72061,1.05989,0.94562,0.56561,0.90827,0.78685,0.565,1.95892,0.85158,0.000329004,0.000329004,0.000329004
2,13.3792,0.72853,1.35409,0.93201,0.99188,0.99754,0.995,0.90795,0.45873,0.60023,0.8387,0.000649223,0.000649223,0.000649223
3,19.4556,0.66477,1.1012,0.92128,0.9619,0.99486,0.995,0.92042,0.4206,0.5722,0.83777,0.000956242,0.000956242,0.000956242
4,25.9948,0.57768,0.90678,0.89747,0.99681,1,0.995,0.9487,0.33243,0.42001,0.8049,0.0009406,0.0009406,0.0009406
5,32.6232,0.5514,0.80691,0.89329,0.99644,1,0.995,0.93608,0.36318,0.35879,0.81486,0.0009208,0.0009208,0.0009208
6,38.4814,0.53341,0.73119,0.88854,0.99809,1,0.995,0.96396,0.29194,0.31967,0.80349,0.000901,0.000901,0.000901
7,44.3235,0.48379,0.65053,0.87778,0.99813,1,0.995,0.97813,0.27455,0.30121,0.78935,0.0008812,0.0008812,0.0008812
8,50.1842,0.48022,0.62409,0.88034,0.99872,1,0.995,0.98237,0.24405,0.27284,0.78546,0.0008614,0.0008614,0.0008614
9,56.0424,0.48187,0.58916,0.8805,0.99826,1,0.995,0.97418,0.25056,0.25799,0.77963,0.0008416,0.0008416,0.0008416
10,61.9025,0.45132,0.53212,0.8773,0.99877,1,0.995,0.98186,0.22549,0.24936,0.7812,0.0008218,0.0008218,0.0008218
11,67.8624,0.45791,0.51339,0.87295,0.99853,1,0.995,0.98547,0.22846,0.24591,0.78385,0.000802,0.000802,0.000802
12,73.7173,0.42147,0.47038,0.86105,0.99804,1,0.995,0.98386,0.2142,0.22093,0.77763,0.0007822,0.0007822,0.0007822
13,79.5986,0.43452,0.4772,0.86489,0.99804,1,0.995,0.98912,0.22241,0.22125,0.78275,0.0007624,0.0007624,0.0007624
14,85.4729,0.40998,0.44576,0.85999,0.99832,1,0.995,0.98857,0.20819,0.2063,0.77626,0.0007426,0.0007426,0.0007426
15,91.3405,0.39764,0.42424,0.85843,0.99773,1,0.995,0.98907,0.18805,0.19482,0.77717,0.0007228,0.0007228,0.0007228
16,97.2188,0.37896,0.40146,0.85231,0.99867,1,0.995,0.9921,0.18809,0.18972,0.77275,0.000703,0.000703,0.000703
17,103.113,0.38639,0.4086,0.86248,0.99895,1,0.995,0.98849,0.20665,0.20932,0.77488,0.0006832,0.0006832,0.0006832
18,109.018,0.39664,0.3981,0.85513,0.99903,1,0.995,0.99008,0.19338,0.18824,0.77428,0.0006634,0.0006634,0.0006634
19,114.909,0.38959,0.37898,0.86001,0.99852,1,0.995,0.99145,0.2021,0.18574,0.77842,0.0006436,0.0006436,0.0006436
20,120.811,0.35711,0.35637,0.84573,0.99852,1,0.995,0.99297,0.17935,0.172,0.77735,0.0006238,0.0006238,0.0006238
21,126.708,0.36457,0.34812,0.84801,0.99887,1,0.995,0.99041,0.17912,0.17755,0.78426,0.000604,0.000604,0.000604
22,132.985,0.35395,0.3503,0.8538,0.99877,1,0.995,0.99118,0.16419,0.1629,0.78296,0.0005842,0.0005842,0.0005842
23,139.635,0.35399,0.34916,0.84863,0.9989,1,0.995,0.9928,0.16575,0.15956,0.78786,0.0005644,0.0005644,0.0005644
24,146.239,0.35692,0.33656,0.84714,0.99893,1,0.995,0.99195,0.14974,0.14807,0.78964,0.0005446,0.0005446,0.0005446
25,152.891,0.32553,0.30729,0.83408,0.99892,1,0.995,0.99341,0.15871,0.15767,0.78886,0.0005248,0.0005248,0.0005248
26,159.535,0.32591,0.3053,0.83772,0.99908,1,0.995,0.99248,0.1585,0.1604,0.78889,0.000505,0.000505,0.000505
27,166.164,0.32273,0.29783,0.83897,0.9986,1,0.995,0.99322,0.14761,0.1496,0.78802,0.0004852,0.0004852,0.0004852
28,172.755,0.32495,0.30206,0.845,0.99862,1,0.995,0.99324,0.14125,0.13809,0.78887,0.0004654,0.0004654,0.0004654
29,179.331,0.32754,0.30618,0.83638,0.9989,1,0.995,0.99195,0.13833,0.13901,0.78944,0.0004456,0.0004456,0.0004456
30,185.311,0.30962,0.28281,0.83528,0.99895,1,0.995,0.99373,0.1468,0.12702,0.79138,0.0004258,0.0004258,0.0004258
31,191.18,0.30785,0.2763,0.83347,0.99897,1,0.995,0.99303,0.1391,0.13354,0.79253,0.000406,0.000406,0.000406
32,197.041,0.32558,0.28639,0.83832,0.99891,1,0.995,0.99299,0.14137,0.12667,0.79097,0.0003862,0.0003862,0.0003862
33,202.862,0.29321,0.2641,0.82946,0.99896,1,0.995,0.99395,0.12465,0.11353,0.79098,0.0003664,0.0003664,0.0003664
34,208.691,0.29627,0.25831,0.8301,0.99904,1,0.995,0.99417,0.14061,0.11364,0.79127,0.0003466,0.0003466,0.0003466
35,214.479,0.29803,0.26368,0.83319,0.99908,1,0.995,0.99375,0.13958,0.11024,0.79239,0.0003268,0.0003268,0.0003268
36,220.452,0.30223,0.25754,0.82903,0.99905,1,0.995,0.99298,0.1191,0.10603,0.78976,0.000307,0.000307,0.000307
37,227.002,0.27578,0.2393,0.82839,0.99901,1,0.995,0.99361,0.10907,0.0999,0.78789,0.0002872,0.0002872,0.0002872
38,233.468,0.26661,0.23792,0.8266,0.999,1,0.995,0.99363,0.10532,0.09585,0.78796,0.0002674,0.0002674,0.0002674
39,240.022,0.27886,0.23735,0.82681,0.99904,1,0.995,0.99342,0.11105,0.106,0.78808,0.0002476,0.0002476,0.0002476
40,246.506,0.28115,0.2399,0.82569,0.99901,1,0.995,0.99417,0.11123,0.10275,0.78813,0.0002278,0.0002278,0.0002278
41,253.892,0.2633,0.2184,0.8146,0.99884,1,0.995,0.99451,0.10855,0.0958,0.78884,0.000208,0.000208,0.000208
42,259.852,0.26275,0.21248,0.81025,0.99893,1,0.995,0.99421,0.12366,0.10205,0.78931,0.0001882,0.0001882,0.0001882
43,265.714,0.25817,0.20638,0.80822,0.99875,1,0.995,0.99374,0.10995,0.09595,0.78784,0.0001684,0.0001684,0.0001684
44,271.618,0.24808,0.19896,0.80829,0.999,1,0.995,0.99372,0.09619,0.08415,0.78672,0.0001486,0.0001486,0.0001486
45,277.503,0.2473,0.19759,0.81206,0.99897,1,0.995,0.99406,0.10814,0.09188,0.78698,0.0001288,0.0001288,0.0001288
46,283.318,0.24723,0.19197,0.80553,0.99884,1,0.995,0.99429,0.09722,0.08755,0.78667,0.000109,0.000109,0.000109
47,289.174,0.23345,0.187,0.8049,0.99882,1,0.995,0.99429,0.09558,0.07789,0.78657,8.92e-05,8.92e-05,8.92e-05
48,295.032,0.23239,0.17961,0.80855,0.99899,1,0.995,0.99442,0.09087,0.07434,0.78641,6.94e-05,6.94e-05,6.94e-05
49,301.315,0.22462,0.17415,0.80473,0.9989,1,0.995,0.9944,0.09058,0.07561,0.78599,4.96e-05,4.96e-05,4.96e-05
50,307.925,0.22747,0.17439,0.80164,0.99896,1,0.995,0.99451,0.08552,0.06988,0.78584,2.98e-05,2.98e-05,2.98e-05
